Quan,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Gan_Metro_Bus,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Tinh_trang_ngap,Noi_that,Tinh_trang_Dien_Nuoc,Tuoi_nha_nam,Gia_ban_ty
Đống Đa,4.25,25,7.0,1,1,1,9.5,Đường nhựa,1,0,0,0,Trung bình,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,25,7.07
Ba Đình,4.16,76,4.2,7,7,6,8.6,Đường bê tông,1,0,1,0,Cao,Bình thường,0,Ngập sâu,Cơ bản,Hay hỏng,12,18.63
Thanh Xuân,6.24,118,5.5,4,5,1,8.7,Đường nhựa,1,1,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Hay hỏng,17,30.79
Long Biên,12.0,76,7.1,6,7,2,4.6,Đường bê tông,1,1,1,0,Trung bình,Tốt,0,Không ngập,Cơ bản,Tốt,20,12.56
Đống Đa,5.57,59,9.5,3,5,3,3.6,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,3,11.47
Thanh Xuân,9.32,76,6.3,5,9,10,7.5,Đường đất,1,1,1,0,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Full cao cấp,Tốt,4,17.04
Tây Hồ,6.78,90,9.7,1,2,1,11.7,Đường đất,1,1,0,1,Cao,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,2,39.97
Long Biên,12.7,78,8.4,2,1,2,11.0,Đường nhựa,1,1,0,1,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,8,16.78
Long Biên,5.27,38,5.9,4,6,1,9.2,Đường nhựa,1,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,9,7.09
Ba Đình,2.87,58,5.6,6,2,3,11.3,Đường nhựa,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,19,25.04
Hà Đông,18.97,85,7.4,1,1,1,10.4,Đường bê tông,1,1,0,0,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,20,9.84
Tây Hồ,7.59,70,3.3,1,1,2,10.6,Đường nhựa,1,0,0,0,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,0,22.67
Hoàn Kiếm,1.19,127,7.2,5,3,1,3.9,Đường nhựa,0,0,1,1,Trung bình,Tốt,0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,12,61.1
Tây Hồ,5.74,25,5.5,2,3,3,11.5,Đường bê tông,1,0,0,0,Trung bình,Bình thường,0,Không ngập,Nhà trống,Tốt,15,8.21
Hoàn Kiếm,1.18,31,9.1,8,13,11,6.7,Đường bê tông,1,0,1,1,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Full cao cấp,Tốt,14,26.4
Ba Đình,4.43,102,9.8,1,2,1,4.4,Đường đất,1,1,0,0,Cao,Bình thường,0,Không ngập,Nhà trống,Tốt,10,31.33
Đống Đa,3.83,72,3.8,7,9,4,3.0,Đường bê tông,0,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,25,16.19
Hoàn Kiếm,0.32,109,7.8,7,14,6,11.8,Đường nhựa,1,1,1,0,Trung bình,Bình thường,0,Không ngập,Nhà trống,Tốt,28,73.5
Long Biên,8.85,36,5.4,5,6,5,8.9,Đường đất,1,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,5,6.05
Thanh Xuân,9.15,70,4.7,1,2,3,2.4,Đường bê tông,0,0,0,0,Thấp,Bình thường,0,Ngập nhẹ,Full cao cấp,Tốt,8,11.51
Hà Đông,12.46,74,9.1,3,4,4,7.9,Đường bê tông,1,1,1,1,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,13,12.94
Thanh Xuân,8.27,85,6.1,4,3,3,4.7,Đường nhựa,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,13,18.97
Bắc Từ Liêm,13.71,72,3.5,3,6,2,10.6,Đường nhựa,1,0,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,8,10.34
Cầu Giấy,6.32,38,5.0,2,2,1,5.7,Đường bê tông,1,0,0,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,6,12.96
Cầu Giấy,7.44,83,5.2,8,14,13,6.4,Đường bê tông,1,1,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,3,25.99
Hà Đông,18.11,96,4.2,4,7,1,4.7,Đường nhựa,1,0,1,1,Thấp,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,17,15.13
Hai Bà Trưng,4.01,99,7.7,1,1,2,6.5,Đường bê tông,1,1,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,9,27.8
Hà Đông,15.64,99,8.3,2,4,4,6.4,Đường nhựa,1,1,0,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,11,13.42
Hai Bà Trưng,3.95,104,8.8,6,1,2,6.5,Đường đất,1,1,1,0,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,30,33.04
Cầu Giấy,6.43,104,5.9,6,4,3,6.3,Đường nhựa,1,1,1,0,Trung bình,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,14,30.44
Long Biên,6.27,25,8.5,3,5,3,4.8,Đường đất,1,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Hay hỏng,22,4.48
Cầu Giấy,8.6,88,3.6,3,2,1,6.5,Đường nhựa,1,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,13,21.09
Nam Từ Liêm,11.31,25,7.1,1,2,1,4.1,Đường đất,1,0,0,0,Trung bình,Tốt,0,Không ngập,Cơ bản,Tốt,16,3.29
Tây Hồ,4.53,58,4.6,4,4,2,11.5,Đường bê tông,1,1,1,1,Trung bình,Kém (Hay mất trộm),0,Ngập sâu,Nhà trống,Tốt,30,20.65
Hoàn Kiếm,0.58,115,4.8,3,2,2,9.1,Đường đất,1,1,1,1,Thấp,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Tốt,24,86.14
Thanh Xuân,7.64,110,4.8,6,2,2,6.6,Đường nhựa,1,1,1,0,Trung bình,Bình thường,0,Không ngập,Nhà trống,Hay hỏng,23,25.81
Bắc Từ Liêm,15.57,46,9.2,4,7,3,8.3,Đường nhựa,1,1,1,1,Thấp,Bình thường,1,Không ngập,Cơ bản,Tốt,19,4.41
Nam Từ Liêm,11.75,61,8.9,1,1,1,9.7,Đường bê tông,1,1,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Hay hỏng,11,9.96
Ba Đình,4.46,32,8.4,6,12,10,11.8,Đường nhựa,1,0,1,0,Trung bình,Tốt,0,Không ngập,Cơ bản,Hay hỏng,11,8.88
Cầu Giấy,7.75,44,7.4,6,7,3,9.8,Đường đất,1,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,25,11.48
Hai Bà Trưng,3.17,108,4.6,2,4,1,2.3,Đường bê tông,0,0,0,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,13,24.58
Cầu Giấy,7.71,77,3.3,4,2,3,7.1,Đường nhựa,1,0,1,1,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Hay hỏng,11,23.82
Hai Bà Trưng,3.38,60,7.6,2,2,3,8.2,Đường bê tông,1,1,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,11,19.22
Long Biên,13.17,86,6.7,1,2,2,9.5,Đường nhựa,1,1,0,0,Thấp,Tốt,0,Không ngập,Nhà trống,Tốt,20,15.95
Hai Bà Trưng,3.57,87,7.9,3,6,6,8.1,Đường đất,1,1,1,0,Cao,Tốt,0,Ngập nhẹ,Đồ gỗ xịn,Tốt,25,25.79
Tây Hồ,7.3,63,8.6,3,1,1,6.7,Đường nhựa,1,1,1,0,Cao,Tốt,0,Ngập nhẹ,Đồ gỗ xịn,Tốt,15,24.04
Hoàng Mai,5.13,107,8.0,6,7,2,8.6,Đường đất,1,1,1,0,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,11,16.73
Tây Hồ,6.18,93,8.9,5,1,1,9.9,Đường bê tông,1,1,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,28,39.35
Thanh Xuân,8.87,82,4.5,7,9,4,11.5,Đường đất,1,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,8,14.25
Hai Bà Trưng,2.1,25,6.2,2,4,4,3.4,Đường bê tông,0,0,0,0,Thấp,Rất tốt (VIP),0,Ngập sâu,Cơ bản,Tốt,23,5.24
Ba Đình,3.43,66,3.0,3,3,1,8.7,Đường bê tông,1,0,1,0,Cao,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,29,23.05
Thanh Xuân,7.1,52,9.9,6,1,2,3.2,Đường bê tông,0,0,1,0,Cao,Rất tốt (VIP),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,27,8.62
Hoàng Mai,6.58,34,3.2,1,2,3,8.7,Đường nhựa,1,0,0,0,Thấp,Bình thường,0,Không ngập,Nhà trống,Tốt,3,6.02
Hoàn Kiếm,0.11,52,9.7,1,1,1,8.7,Đường bê tông,1,1,0,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,19,33.35
Hai Bà Trưng,3.72,86,9.4,7,13,2,12.0,Đường bê tông,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Hay hỏng,26,25.87
Hoàn Kiếm,0.17,84,6.8,2,4,3,3.8,Đường nhựa,0,0,0,0,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,25,34.9
Hà Đông,17.14,65,5.3,3,6,4,2.1,Đường bê tông,0,0,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,20,5.55
Hai Bà Trưng,4.65,53,7.3,7,9,7,11.7,Đường nhựa,1,1,1,1,Cao,Tốt,0,Không ngập,Nhà trống,Hay hỏng,16,17.87
Tây Hồ,6.62,25,9.2,6,5,2,2.9,Đường bê tông,0,0,1,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,1,8.27
Cầu Giấy,7.2,93,8.4,4,1,1,11.2,Đường đất,1,1,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Hay hỏng,26,26.66
Long Biên,4.69,57,9.1,8,8,9,3.2,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,5,9.77
Cầu Giấy,7.27,61,8.3,5,8,8,5.1,Đường đất,1,1,1,0,Trung bình,Tốt,0,Không ngập,Nhà trống,Tốt,20,15.91
Hai Bà Trưng,4.09,60,4.7,8,7,1,2.1,Đường bê tông,0,0,1,1,Trung bình,Tốt,0,Không ngập,Nhà trống,Tốt,30,14.1
Hai Bà Trưng,4.9,91,7.2,1,2,3,7.0,Đường nhựa,1,1,0,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,12,22.62
Hoàn Kiếm,0.39,90,9.3,4,1,2,3.7,Đường nhựa,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,5,44.37
Hai Bà Trưng,3.72,87,9.8,1,1,2,7.3,Đường nhựa,1,1,0,0,Thấp,Tốt,0,Không ngập,Full cao cấp,Tốt,6,27.12
Hà Đông,16.02,88,8.3,8,6,7,9.6,Đường bê tông,1,1,1,1,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,14,15.8
Thanh Xuân,8.36,84,5.9,5,10,7,7.3,Đường nhựa,1,1,1,0,Cao,Bình thường,0,Ngập sâu,Cơ bản,Tốt,12,13.98
Thanh Xuân,7.1,43,9.1,3,4,5,10.6,Đường đất,1,0,1,0,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,4,8.69
Thanh Xuân,7.85,57,3.2,4,3,4,3.4,Đường bê tông,0,0,1,0,Thấp,Tốt,1,Không ngập,Cơ bản,Tốt,25,6.22
Cầu Giấy,8.17,25,7.6,1,2,1,1.6,Đường bê tông,0,0,0,1,Trung bình,Bình thường,0,Không ngập,Cơ bản,Tốt,29,5.74
Ba Đình,2.36,25,5.8,8,14,14,11.9,Đường bê tông,1,0,1,1,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,15,9.52
Đống Đa,4.75,87,8.5,6,2,1,4.3,Đường bê tông,1,1,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,24,23.12
Hoàng Mai,5.24,25,5.7,7,2,1,10.0,Đường đất,1,0,1,0,Trung bình,Kém (Hay mất trộm),1,Ngập nhẹ,Full cao cấp,Tốt,5,3.31
Tây Hồ,6.06,39,5.1,8,8,9,11.0,Đường bê tông,1,0,1,1,Cao,Bình thường,0,Ngập sâu,Full cao cấp,Tốt,2,14.28
Bắc Từ Liêm,13.23,50,7.6,8,3,4,6.5,Đường đất,1,1,1,0,Cao,Bình thường,1,Ngập nhẹ,Đồ gỗ xịn,Tốt,5,3.8
Long Biên,11.94,84,4.9,7,13,13,2.6,Đường bê tông,0,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,1,11.4
Bắc Từ Liêm,11.14,55,6.3,3,3,3,10.5,Đường bê tông,1,1,1,1,Cao,Kém (Hay mất trộm),0,Ngập sâu,Cơ bản,Hay hỏng,20,6.18
Nam Từ Liêm,12.65,25,8.8,5,6,4,5.6,Đường nhựa,1,0,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,7,3.93
Bắc Từ Liêm,14.33,25,8.4,2,3,1,3.4,Đường bê tông,0,0,0,1,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Hay hỏng,24,2.52
Hoàng Mai,8.84,25,9.9,8,8,3,7.0,Đường nhựa,1,0,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,23,4.88
Long Biên,13.55,55,9.3,8,3,1,11.0,Đường bê tông,1,1,1,1,Thấp,Bình thường,1,Không ngập,Full cao cấp,Tốt,27,8.07
Thanh Xuân,8.85,81,5.4,5,10,6,6.6,Đường đất,1,1,1,1,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,1,16.63
Nam Từ Liêm,14.26,72,8.7,4,8,1,7.2,Đường bê tông,1,1,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,26,9.81
Hà Đông,19.86,44,7.8,1,1,2,4.4,Đường đất,1,0,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,20,5.8
Ba Đình,3.82,76,8.2,7,1,1,7.0,Đường đất,1,1,1,1,Thấp,Tốt,0,Không ngập,Nhà trống,Hay hỏng,19,26.83
Hà Đông,19.48,25,9.0,1,2,1,9.8,Đường nhựa,1,0,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,2,2.9
Tây Hồ,6.49,37,9.5,3,2,1,7.0,Đường bê tông,1,0,1,1,Trung bình,Bình thường,0,Ngập sâu,Đồ gỗ xịn,Hay hỏng,24,11.11
Nam Từ Liêm,15.68,27,4.8,5,1,1,6.7,Đường nhựa,1,0,1,1,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,23,4.51
Hà Đông,19.95,64,7.9,7,12,5,4.5,Đường đất,1,1,1,0,Trung bình,Tốt,0,Ngập nhẹ,Full cao cấp,Tốt,3,7.47
Thanh Xuân,9.1,32,6.5,2,4,3,4.6,Đường đất,1,0,0,0,Thấp,Tốt,0,Ngập nhẹ,Full cao cấp,Tốt,21,6.09
Cầu Giấy,6.52,101,5.3,4,4,3,11.2,Đường đất,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,15,34.73
Tây Hồ,5.13,47,3.1,6,6,7,8.9,Đường nhựa,1,0,1,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,29,18.33
Hoàng Mai,6.46,76,4.7,5,2,3,6.2,Đường đất,1,1,1,1,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,16,15.67
Ba Đình,4.28,45,7.9,1,2,3,3.0,Đường bê tông,0,0,0,0,Cao,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,0,13.12
Ba Đình,4.46,60,5.7,1,2,1,6.5,Đường đất,1,1,0,0,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,2,18.45
Hai Bà Trưng,3.82,33,8.8,1,2,2,3.0,Đường bê tông,0,0,0,0,Cao,Tốt,0,Không ngập,Cơ bản,Tốt,7,6.99
Tây Hồ,4.49,70,7.4,3,5,2,2.8,Đường bê tông,0,0,1,1,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,13,23.42
Cầu Giấy,7.24,48,5.9,2,1,1,11.0,Đường đất,1,1,0,0,Cao,Tốt,0,Không ngập,Nhà trống,Hay hỏng,21,10.92
Hoàn Kiếm,0.39,51,4.5,8,14,9,11.0,Đường nhựa,1,0,1,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,13,35.77
Đống Đa,4.59,95,5.2,7,10,8,3.0,Đường bê tông,0,0,1,0,Thấp,Tốt,1,Không ngập,Đồ gỗ xịn,Tốt,8,14.61
Hà Đông,16.95,62,7.2,4,6,4,4.0,Đường bê tông,1,1,1,0,Cao,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Tốt,7,8.44
Tây Hồ,4.43,121,6.1,3,2,3,11.5,Đường nhựa,1,1,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,24,62.69
Bắc Từ Liêm,12.72,97,8.3,1,2,2,9.9,Đường đất,1,1,0,0,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,22,11.3
Cầu Giấy,6.9,83,6.4,2,3,3,7.5,Đường nhựa,1,1,0,0,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,17,28.43
Bắc Từ Liêm,16.51,70,3.2,6,7,6,4.9,Đường đất,1,0,1,0,Trung bình,Bình thường,0,Không ngập,Cơ bản,Hay hỏng,25,6.75
Hà Đông,16.93,86,9.7,1,2,2,5.1,Đường nhựa,1,1,0,1,Thấp,Rất tốt (VIP),1,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,25,8.94
Hai Bà Trưng,3.11,36,6.5,6,6,2,3.1,Đường bê tông,0,0,1,1,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,5,11.03
Hà Đông,16.51,25,6.1,3,4,4,3.0,Đường bê tông,0,0,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,15,2.8
Tây Hồ,4.28,53,4.7,2,4,1,4.7,Đường bê tông,1,1,0,0,Cao,Bình thường,0,Không ngập,Nhà trống,Tốt,22,21.87
Bắc Từ Liêm,10.4,88,6.2,6,1,1,4.2,Đường nhựa,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,6,16.92
Nam Từ Liêm,13.22,91,9.3,4,8,3,7.8,Đường nhựa,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,8,15.69
Tây Hồ,5.14,86,6.3,4,7,8,5.9,Đường đất,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,4,34.09
Hoàng Mai,5.53,91,7.7,5,6,2,2.1,Đường bê tông,0,0,1,1,Thấp,Kém (Hay mất trộm),1,Ngập sâu,Đồ gỗ xịn,Tốt,5,6.89
Long Biên,8.75,126,5.5,3,1,1,6.8,Đường bê tông,1,1,1,0,Trung bình,Tốt,0,Không ngập,Cơ bản,Tốt,14,21.95
Thanh Xuân,6.16,55,6.0,1,1,1,10.9,Đường bê tông,1,1,0,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,17,14.23
Thanh Xuân,6.01,25,7.1,4,6,2,3.2,Đường bê tông,0,0,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,26,4.65
Cầu Giấy,7.91,78,5.0,1,1,2,3.3,Đường bê tông,0,0,0,0,Cao,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Hay hỏng,23,13.91
Hai Bà Trưng,4.9,105,7.0,3,2,2,8.5,Đường nhựa,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,20,30.98
Tây Hồ,4.56,96,9.8,6,11,11,7.0,Đường đất,1,1,1,1,Cao,Rất tốt (VIP),1,Không ngập,Nhà trống,Hay hỏng,13,32.17
Bắc Từ Liêm,14.28,92,9.2,3,6,1,1.9,Đường bê tông,0,0,1,1,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,23,9.29
Tây Hồ,6.61,109,5.6,4,3,4,2.3,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,23,35.12
Đống Đa,3.9,94,5.8,4,7,4,9.8,Đường nhựa,1,1,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,23,31.57
Hai Bà Trưng,2.21,67,3.5,6,1,1,6.8,Đường nhựa,1,0,1,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,12,20.28
Hoàng Mai,6.15,36,3.5,5,4,3,4.6,Đường nhựa,1,0,1,0,Trung bình,Bình thường,1,Không ngập,Đồ gỗ xịn,Hay hỏng,20,4.08
Đống Đa,4.0,115,3.0,4,3,4,11.7,Đường nhựa,1,0,1,0,Thấp,Tốt,0,Không ngập,Full cao cấp,Tốt,26,33.43
Ba Đình,2.11,49,5.6,3,3,1,3.8,Đường nhựa,0,0,1,1,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,3,15.47
Long Biên,8.72,78,9.6,3,5,5,7.8,Đường bê tông,1,1,1,1,Cao,Tốt,1,Không ngập,Nhà trống,Hay hỏng,20,12.19
Long Biên,11.97,54,3.2,8,9,8,10.3,Đường nhựa,1,0,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,19,9.42
Bắc Từ Liêm,11.17,45,8.2,7,4,1,11.2,Đường nhựa,1,0,1,0,Cao,Tốt,1,Ngập nhẹ,Cơ bản,Tốt,27,3.77
Ba Đình,4.16,42,6.1,5,5,3,11.1,Đường bê tông,1,0,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,20,14.73
Ba Đình,4.73,151,3.7,2,2,1,1.9,Đường bê tông,0,0,0,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Hay hỏng,16,43.39
Hai Bà Trưng,4.37,67,5.4,5,2,3,11.5,Đường bê tông,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,7,21.29
Ba Đình,2.05,25,5.6,6,9,4,10.5,Đường đất,1,0,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,7,9.11
Thanh Xuân,9.32,36,8.6,4,6,5,8.9,Đường đất,1,0,1,0,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,17,6.69
Ba Đình,2.32,53,3.1,8,7,5,5.1,Đường đất,1,0,1,0,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,28,20.91
Ba Đình,2.66,88,3.7,4,5,2,10.6,Đường đất,1,0,1,0,Cao,Tốt,0,Không ngập,Cơ bản,Tốt,13,27.24
Bắc Từ Liêm,15.91,84,3.1,2,3,1,7.4,Đường đất,1,0,0,1,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,28,10.82
Hai Bà Trưng,4.65,25,9.8,8,9,1,9.6,Đường nhựa,1,0,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,27,7.25
Tây Hồ,5.57,27,7.1,7,7,7,9.6,Đường nhựa,1,0,1,0,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Hay hỏng,12,8.84
Hoàng Mai,8.61,58,3.7,4,4,4,8.9,Đường nhựa,1,0,1,0,Thấp,Tốt,1,Không ngập,Nhà trống,Tốt,3,6.65
Tây Hồ,7.37,99,6.2,7,12,6,2.0,Đường bê tông,0,0,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,15,30.41
Nam Từ Liêm,15.69,71,5.1,6,10,2,5.3,Đường đất,1,1,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,18,9.35
Bắc Từ Liêm,13.26,92,6.8,2,1,1,10.3,Đường bê tông,1,1,0,1,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,25,13.83
Hà Đông,14.62,45,10.0,3,3,2,11.1,Đường đất,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,11,4.92
Hoàn Kiếm,1.7,33,9.0,3,2,3,7.5,Đường đất,1,0,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,12,21.02
Long Biên,14.09,82,9.8,4,6,2,1.9,Đường bê tông,0,0,1,1,Cao,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,20,13.71
Hai Bà Trưng,3.23,27,4.7,1,2,2,5.0,Đường nhựa,1,0,0,1,Thấp,Tốt,0,Không ngập,Cơ bản,Hay hỏng,29,9.09
Đống Đa,5.69,91,9.0,1,1,1,3.5,Đường bê tông,0,0,0,1,Trung bình,Rất tốt (VIP),1,Không ngập,Đồ gỗ xịn,Hay hỏng,15,15.2
Cầu Giấy,7.72,45,3.7,3,1,1,9.2,Đường đất,1,0,1,0,Trung bình,Tốt,1,Không ngập,Đồ gỗ xịn,Tốt,28,7.19
Nam Từ Liêm,12.06,90,4.5,2,1,2,1.7,Đường bê tông,0,0,0,0,Trung bình,Tốt,0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,27,9.48
Hoàng Mai,11.26,41,7.6,8,2,2,6.4,Đường bê tông,1,0,1,1,Cao,Bình thường,0,Không ngập,Cơ bản,Hay hỏng,28,6.9
Cầu Giấy,7.69,53,6.3,2,4,1,7.7,Đường đất,1,1,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,21,13.96
Hoàng Mai,6.94,55,3.2,6,9,9,2.3,Đường bê tông,0,0,1,0,Trung bình,Bình thường,0,Không ngập,Nhà trống,Tốt,21,7.51
Hai Bà Trưng,4.39,76,6.0,3,4,2,7.2,Đường đất,1,1,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,0,20.87
Long Biên,15.0,96,6.5,2,2,2,10.3,Đường đất,1,1,0,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,2,14.79
Hà Đông,18.29,58,7.9,7,13,8,1.6,Đường bê tông,0,0,1,1,Trung bình,Bình thường,0,Ngập nhẹ,Full cao cấp,Hay hỏng,17,5.86
Hoàng Mai,8.06,98,8.3,5,7,8,8.8,Đường đất,1,1,1,1,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,1,16.55
Hoàng Mai,5.67,25,3.3,7,2,3,4.2,Đường bê tông,1,0,1,1,Thấp,Rất tốt (VIP),0,Ngập sâu,Cơ bản,Tốt,3,4.57
