Quan_Huyen,Dac_diem_khu_vuc,Loai_dat,Loai_duong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Tuoi_nha_nam,O_to_vao,Co_Gara,Co_San_thuong,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gia_ban_ty
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Chờ sổ,Trung binh,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Xuong cap nhe,3.68,20,11.3,3,1,1,8.0,26,1,0,1,0,0,5.55
Sóc Sơn,Trong lang xom,Tho cu + Dat vuon,Duong dat,Tây,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,36.02,139,10.0,3,6,5,2.4,15,0,0,1,0,0,2.43
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Bắc,Chờ sổ,Thap,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,9.04,55,8.3,4,7,7,7.5,15,1,1,1,0,0,12.12
Đông Anh,Khu dan cu,Full tho cu,Duong nhua,Đông Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,13.87,58,3.2,1,1,2,10.0,8,1,0,0,0,1,4.95
Đông Anh,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Binh thuong,22.75,61,5.3,5,9,4,14.5,24,1,1,1,0,0,7.14
Đông Anh,Khu dan cu,Tho cu + Dat vuon,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,20.59,76,9.6,4,5,5,12.6,22,1,1,1,0,0,4.76
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Đông,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,68.77,156,10.0,2,1,2,7.2,20,1,1,1,1,1,2.56
Thanh Trì,Khu dan cu,Full tho cu,Duong nhua,Nam,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,14.35,74,3.8,2,3,2,9.7,28,1,0,1,0,0,4.61
Long Biên,Khu dau gia,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Hợp đồng mua bán,Thap,Tốt,Không gần gì,Xa phương tiện CC,Nhà trống,Can sua chua,Binh thuong,13.01,57,11.8,2,2,3,14.9,28,1,1,1,0,0,9.43
Sơn Tây,Trong lang xom,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,44.04,153,10.9,2,1,2,7.8,12,1,1,1,0,0,6.42
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Chờ sổ,Trung binh,Tốt,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,0.0,55,5.3,8,11,4,13.6,9,1,1,1,0,0,28.470000000000006
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Bắc,Chờ sổ,Trung binh,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,0.0,24,3.4,8,11,9,2.5,7,0,0,1,0,1,8.78
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,9.0,88,8.4,8,6,1,3.6,3,1,1,1,0,0,18.61
Ba Vì,Gan lang nghe,Full tho cu,Duong nhua,Đông,Chờ sổ,Cao,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,46.18,135,6.4,2,1,1,10.3,1,1,1,1,0,0,3.21
Chương Mỹ,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,26.51,128,8.9,1,2,3,11.5,9,1,1,0,0,0,3.38
Thường Tín,Mat duong Quoc lo,Full tho cu,Duong nhua,Tây Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,31.1,164,12.4,2,3,3,5.5,10,1,1,1,1,0,7.96
Hoài Đức,Gan KCN,Full tho cu,Duong be tong,Đông,Chờ sổ,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,23.06,145,4.9,3,4,1,3.1,15,0,0,1,0,1,8.35
Gia Lâm,Khu dau gia,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,19.0,66,11.8,2,2,1,9.0,12,1,1,1,0,0,11.59
Tây Hồ,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Vi bằng,Cao,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,7.66,78,3.4,5,9,4,14.3,14,1,0,1,0,0,28.470000000000006
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong be tong,Đông,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,7.13,58,3.9,2,1,1,3.8,21,1,0,1,0,0,15.5
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Bắc,Vi bằng,Cao,Tốt,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,Can sua chua,Binh thuong,7.56,63,5.2,8,4,5,3.6,27,1,1,1,0,0,17.25
Hoài Đức,Khu dan cu,Full tho cu,Duong be tong,Đông,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Can sua chua,Nat/Can dap di,15.45,148,6.2,5,1,1,3.3,30,0,0,1,0,0,6.68
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Binh thuong,46.71,47,12.4,1,1,1,7.8,22,1,0,0,1,0,0.79
Đan Phượng,Khu dan cu,Full tho cu,Duong nhua,Đông Bắc,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,18.61,89,4.5,1,2,2,7.0,9,1,1,0,0,0,8.28
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Bắc,Vi bằng,Thap,Bình thường,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,9.42,31,6.9,4,5,6,10.3,4,1,0,1,0,0,8.0
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Chờ sổ,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,11.01,74,11.0,7,8,7,7.9,24,1,1,1,0,0,16.3
Quốc Oai,Trong lang xom,Full tho cu,Duong nhua,Nam,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,34.06,237,12.9,3,4,5,14.0,9,1,1,1,0,0,13.77
Thanh Oai,Khu dan cu,Full tho cu,Duong nhua,Bắc,Chờ sổ,Cao,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,21.7,30,5.5,4,6,7,7.4,5,1,0,1,0,0,1.62
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,3.42,85,10.0,2,2,1,9.0,12,1,1,1,0,0,28.470000000000006
Hoài Đức,Khu dan cu,Full tho cu,Duong be tong,Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Nat/Can dap di,15.31,89,7.0,1,2,2,2.3,17,0,0,0,0,0,5.31
Sơn Tây,Trong lang xom,Full tho cu,Duong be tong,Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Nat/Can dap di,37.73,120,7.4,3,2,1,4.6,23,1,1,1,0,0,3.26
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,14.45,88,7.8,3,5,5,12.7,5,1,1,1,1,0,10.71
Thanh Trì,Khu dau gia,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Không gần gì,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Xuong cap nhe,14.35,30,6.0,5,10,3,5.4,27,1,0,1,0,0,3.46
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Hợp đồng mua bán,Thap,Tốt,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,0.0,34,11.4,8,11,8,9.5,15,1,0,1,0,0,19.19
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,3.49,83,6.7,4,8,7,7.4,12,1,1,1,0,0,26.23
Tây Hồ,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,6.72,20,7.6,5,1,1,13.2,22,1,0,1,1,0,6.04
Hà Đông,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Chờ sổ,Trung binh,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Binh thuong,12.44,66,11.6,1,2,2,9.1,26,1,1,0,1,0,6.3
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong be tong,Đông Nam,Chờ sổ,Thap,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,0.0,49,4.4,6,1,2,2.5,0,0,0,1,0,1,23.42
Mỹ Đức,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Xuong cap nhe,58.66,175,6.4,2,3,4,3.4,18,0,0,1,0,0,1.34
Sóc Sơn,Trong lang xom,Full tho cu,Duong nhua,Đông Nam,Chờ sổ,Thap,Bình thường,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,38.69,66,8.2,3,6,4,7.1,6,1,1,1,0,0,2.96
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Bắc,Vi bằng,Thap,Bình thường,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Xuong cap nhe,8.53,98,11.0,3,1,2,7.3,19,1,1,1,0,1,28.39
Thạch Thất,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Binh thuong,38.24,128,9.4,2,4,2,6.3,30,1,1,1,0,0,4.08
Long Biên,Khu dau gia,Full tho cu,Duong nhua,Tây Bắc,Hợp đồng mua bán,Cao,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Binh thuong,6.34,75,3.8,5,9,5,8.3,30,1,0,1,0,0,15.68
Thanh Trì,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Hợp đồng mua bán,Cao,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Binh thuong,15.32,30,3.4,1,1,1,14.5,23,1,0,0,0,0,2.57
Mê Linh,Gan lang nghe,Tho cu + Dat vuon,Duong be tong,Tây Nam,Vi bằng,Cao,Tốt,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Nat/Can dap di,30.59,107,5.9,2,1,1,4.8,28,1,1,1,0,0,2.51
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,4.68,45,6.1,6,5,5,10.0,3,1,0,1,0,0,14.88
Thạch Thất,Trong lang xom,Full tho cu,Duong nhua,Đông,Hợp đồng mua bán,Thap,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,25.2,45,11.8,1,1,2,13.8,0,1,0,0,0,0,2.42
Mỹ Đức,Mat duong Quoc lo,Tho cu + Dat vuon,Duong be tong,Tây,Hợp đồng mua bán,Cao,Tốt,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,51.37,196,13.0,2,1,1,4.9,30,1,1,1,0,0,3.68
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Đông,Chờ sổ,Cao,Tốt,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,15.75,100,7.8,2,1,2,5.6,18,1,1,1,0,0,13.3
Phú Xuyên,Trong lang xom,Full tho cu,Duong nhua,Đông Nam,Vi bằng,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Xuong cap nhe,38.39,158,5.5,3,1,1,7.7,27,1,1,1,0,1,4.1
Thường Tín,Trong lang xom,Full tho cu,Duong nhua,Tây,Vi bằng,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,24.85,67,11.4,2,2,1,9.9,2,1,1,1,0,0,2.87
Thanh Oai,Khu dan cu,Full tho cu,Duong be tong,Đông Bắc,Vi bằng,Thap,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Nat/Can dap di,26.89,105,3.1,4,3,1,2.8,20,0,0,1,1,0,2.6
Đan Phượng,Khu dau gia,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Vi bằng,Cao,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,20.09,44,8.2,3,6,6,12.8,4,1,0,1,1,1,1.86
Quốc Oai,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Binh thuong,27.46,76,13.8,3,5,5,12.0,23,1,1,1,0,0,2.38
Nam Từ Liêm,Gan KCN,Full tho cu,Duong nhua,Đông,Hợp đồng mua bán,Trung binh,Tốt,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,14.27,107,4.0,1,2,1,7.7,8,1,0,0,0,0,14.29
Tây Hồ,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Nam,Vi bằng,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,4.5,43,9.5,6,7,5,4.4,10,1,0,1,0,0,17.83
Đông Anh,Khu dan cu,Full tho cu,Duong nhua,Đông Bắc,Vi bằng,Cao,Tốt,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Nat/Can dap di,23.49,96,7.6,3,2,2,9.5,29,1,1,1,0,0,8.0
Chương Mỹ,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây Bắc,Vi bằng,Cao,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,25.32,84,7.2,1,2,1,7.8,5,1,1,0,0,0,1.84
Sóc Sơn,Trong lang xom,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,26.39,206,11.1,1,1,2,5.4,25,1,1,0,0,0,10.49
Phú Xuyên,Trong lang xom,Full tho cu,Duong dat,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,32.97,105,9.0,1,2,3,1.7,12,0,0,0,0,0,2.22
Thạch Thất,Trong lang xom,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Không gần gì,Xa phương tiện CC,Nhà trống,Can sua chua,Xuong cap nhe,37.18,136,13.4,3,2,2,10.0,22,1,1,1,0,0,8.72
Mê Linh,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Đông,Sổ đỏ/Sổ hồng,Cao,Bình thường,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,23.48,140,6.8,1,1,1,4.7,4,1,1,0,0,1,3.63
Thanh Trì,Gan KCN,Full tho cu,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,12.24,94,8.5,2,3,2,10.3,25,1,1,1,0,0,10.12
Chương Mỹ,Trong lang xom,Full tho cu,Duong nhua,Đông Nam,Vi bằng,Cao,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,35.37,164,9.6,2,4,5,6.0,15,1,1,1,0,0,5.95
Thanh Oai,Khu dan cu,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,26.08,39,10.6,3,2,3,13.6,8,1,0,1,0,1,1.85
Sơn Tây,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,48.73,139,6.4,3,6,5,13.8,21,1,1,1,0,0,3.92
Mỹ Đức,Mat duong Quoc lo,Full tho cu,Duong nhua,Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,53.74,50,10.1,1,1,2,8.3,29,1,0,0,0,0,0.79
Nam Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,14.57,76,10.0,2,3,1,9.9,1,1,1,1,0,1,12.86
Đan Phượng,Khu dan cu,Full tho cu,Duong nhua,Tây Nam,Chờ sổ,Thap,Bình thường,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Xuong cap nhe,24.55,59,7.9,1,1,2,13.9,29,1,1,0,0,0,5.71
Hoài Đức,Khu dau gia,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,21.4,102,8.1,4,1,1,6.7,12,1,1,1,0,0,13.44
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Vi bằng,Cao,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,7.33,30,8.6,4,3,2,9.8,1,1,0,1,1,0,6.0
Thạch Thất,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,29.15,78,10.5,3,1,1,14.0,14,1,1,1,0,0,3.14
Bắc Từ Liêm,Gan KCN,Full tho cu,Duong be tong,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,15.14,64,4.9,1,2,3,2.5,29,0,0,0,0,0,5.56
Thường Tín,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Đông,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,29.66,89,6.0,2,4,3,4.4,6,1,1,1,0,0,2.74
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Bắc,Chờ sổ,Thap,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Nhà trống,Hay hong,Binh thuong,3.79,20,10.8,5,5,3,5.1,25,1,0,1,0,0,7.18
Ứng Hòa,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,45.57,74,11.9,1,2,3,11.3,8,1,1,0,0,0,1.13
Sơn Tây,Trong lang xom,Full tho cu,Duong be tong,Nam,Vi bằng,Thap,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,38.22,99,6.4,3,6,1,3.7,18,1,1,1,0,0,4.16
Hà Đông,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Nat/Can dap di,16.29,78,6.9,2,2,1,11.6,18,1,1,1,0,0,7.79
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Bắc,Hợp đồng mua bán,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,7.51,81,11.5,8,2,2,11.2,19,1,1,1,0,0,15.51
Bắc Từ Liêm,Gan KCN,Full tho cu,Duong be tong,Tây Bắc,Hợp đồng mua bán,Cao,Tốt,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,12.23,49,11.0,1,2,2,4.1,8,1,0,0,1,0,4.41
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Nat/Can dap di,4.29,20,11.9,5,10,8,12.9,23,1,0,1,0,0,4.57
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,2.46,42,8.7,3,3,2,11.5,3,1,0,1,1,0,9.89
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,3.73,69,3.6,6,10,8,8.4,7,1,0,1,0,0,19.82
Mỹ Đức,Trong lang xom,Full tho cu,Duong nhua,Đông Nam,Hợp đồng mua bán,Trung binh,Tốt,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,45.77,84,9.7,2,2,1,14.3,4,1,1,1,0,0,1.72
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,8.31,45,7.5,5,10,1,6.8,17,1,0,1,0,0,7.65
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Chờ sổ,Cao,Rất tốt (Khu VIP),Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,9.21,62,6.1,4,8,5,5.2,6,1,1,1,0,0,15.04
Ba Vì,Gan lang nghe,Tho cu + Dat vuon,Duong be tong,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,59.27,89,6.0,3,6,3,4.5,1,1,1,1,0,1,1.17
Sóc Sơn,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Đông Bắc,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Binh thuong,38.16,40,13.8,1,1,2,4.0,18,1,0,0,0,0,1.06
Thanh Trì,Khu dan cu,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,10.99,37,3.5,1,2,1,6.1,21,1,0,0,0,0,3.82
Mê Linh,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,Can sua chua,Binh thuong,25.21,133,5.3,2,3,2,14.2,23,1,1,1,0,1,3.34
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,0.0,31,9.0,7,6,1,5.9,11,1,0,1,0,0,17.63
Sơn Tây,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây,Vi bằng,Trung binh,Bình thường,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,40.49,231,8.4,2,4,4,8.8,0,1,1,1,0,0,5.79
