Quan_Huyen,Khoang_cach_TT_km,Dac_diem_khu_vuc,Loai_dat,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Tuoi_nha_nam,Gia_ban_ty
Hoàn Kiếm,0.27,Khu dan cu dong duc,Full tho cu,20,11.5,4,2,1,10.1,Duong nhua,1,0,1,Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,15,12.32
Thanh Oai,26.33,Gan KCN,Full tho cu,87,9.3,2,2,1,10.4,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,22,5.12
Mỹ Đức,50.42,Trong lang xom,Full tho cu,45,11.8,3,3,2,11.7,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),1,0,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Xuong cap nhe,17,0.62
Hoàng Mai,8.78,Khu dan cu dong duc,Full tho cu,111,8.8,3,1,1,2.9,Duong be tong,0,0,1,Đông Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,10,15.89
Hoàng Mai,9.41,Khu dan cu dong duc,Full tho cu,83,10.0,3,3,2,9.9,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Cao,Bình thường,1,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Nat/Can dap di,27,8.1
Hoàng Mai,7.44,Khu dan cu dong duc,Full tho cu,75,4.1,5,4,1,3.8,Duong be tong,1,0,1,Nam,Hợp đồng mua bán,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,8,11.35
Mỹ Đức,58.29,Trong lang xom,Full tho cu,104,11.5,2,1,1,2.9,Duong dat,0,0,1,Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,17,0.8
Ứng Hòa,40.72,Trong lang xom,Full tho cu,40,9.2,3,6,3,8.2,Duong nhua,1,0,1,Đông Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,Can sua chua,Xuong cap nhe,21,0.94
Long Biên,5.66,Gan KCN,Full tho cu,118,12.0,3,5,4,8.6,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,10,24.47
Long Biên,9.17,Khu dan cu,Full tho cu,69,4.1,4,5,2,13.0,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),1,0,Không gần gì,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,21,5.51
Hà Đông,13.83,Gan KCN,Full tho cu,82,9.3,2,1,1,14.5,Duong nhua,1,1,1,Tây Nam,Chờ sổ,Cao,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,18,7.44
Mê Linh,29.1,Gan lang nghe,Full tho cu,44,10.8,1,1,2,3.9,Duong be tong,1,0,0,Tây,Vi bằng,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,5,2.09
Đống Đa,4.8,Khu dan cu dong duc,Full tho cu,20,7.7,8,2,3,12.9,Duong nhua,1,0,1,Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,28,5.61
Thường Tín,30.79,Gan lang nghe,Tho cu + Dat vuon,71,11.2,3,4,3,5.6,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,1,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,15,1.84
Chương Mỹ,25.37,Trong lang xom,Tho cu + Dat vuon,114,9.0,2,4,2,3.5,Duong be tong,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,1,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,4,2.47
Đông Anh,20.04,Khu dan cu,Full tho cu,103,3.3,4,5,1,7.9,Duong nhua,1,0,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,11,9.83
Tây Hồ,6.18,Khu dan cu dong duc,Full tho cu,42,8.6,8,15,4,10.5,Duong nhua,1,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,15,14.42
Phúc Thọ,36.63,Trong lang xom,Tho cu + Dat vuon,149,7.4,2,2,3,3.4,Duong be tong,0,0,1,Tây Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,23,2.17
Thạch Thất,39.57,Trong lang xom,Full tho cu,199,10.1,1,2,2,9.7,Duong nhua,1,1,0,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,0,1,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Xuong cap nhe,22,10.47
Thanh Xuân,9.47,Khu dan cu dong duc,Full tho cu,62,4.4,7,1,1,4.1,Duong be tong,1,0,1,Đông,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,Can sua chua,Binh thuong,24,14.33
Thanh Oai,28.9,Khu dau gia,Tho cu + Dat vuon,55,6.5,1,1,2,6.5,Duong nhua,1,1,0,Đông Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,10,3.36
Thanh Xuân,8.9,Khu dan cu dong duc,Full tho cu,55,9.8,8,3,1,6.3,Duong nhua,1,1,1,Bắc,Vi bằng,Trung binh,Bình thường,0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,24,12.14
Bắc Từ Liêm,15.82,Khu dau gia,Tho cu + Dat vuon,75,8.3,3,1,2,14.4,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Cao,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,25,9.39
Nam Từ Liêm,13.13,Khu dan cu,Tho cu + Dat vuon,76,3.6,3,6,5,7.3,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,9,8.12
Thường Tín,24.7,Gan lang nghe,Full tho cu,160,6.1,1,2,1,3.7,Duong be tong,1,1,0,Nam,Vi bằng,Thap,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Xuong cap nhe,29,8.22
Mỹ Đức,58.86,Gan lang nghe,Full tho cu,143,11.0,1,2,1,2.9,Duong dat,0,0,0,Đông Bắc,Chờ sổ,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,Can sua chua,Binh thuong,28,1.59
Ba Vì,57.08,Trong lang xom,Full tho cu,113,9.1,1,2,2,7.0,Duong nhua,1,1,0,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,15,2.77
Chương Mỹ,28.13,Gan lang nghe,Full tho cu,116,7.7,3,4,3,1.7,Duong dat,0,0,1,Tây Nam,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,Can sua chua,Xuong cap nhe,25,3.19
Gia Lâm,18.34,Gan KCN,Full tho cu,64,9.6,3,3,1,6.1,Duong nhua,1,1,1,Đông Bắc,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,14,6.28
Thanh Xuân,9.75,Khu dan cu dong duc,Full tho cu,73,8.0,6,3,4,6.8,Duong nhua,1,1,1,Bắc,Vi bằng,Cao,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,13,20.56
Thạch Thất,29.98,Trong lang xom,Tho cu + Dat vuon,180,5.8,2,3,2,12.7,Duong nhua,1,1,1,Tây Bắc,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,30,6.55
Tây Hồ,4.64,Khu dan cu dong duc,Full tho cu,101,8.4,8,7,6,3.6,Duong be tong,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,0,1,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,14,42.72
Chương Mỹ,36.79,Trong lang xom,Tho cu + Dat vuon,171,7.9,1,2,2,7.1,Duong nhua,1,1,0,Nam,Chờ sổ,Cao,Kém (Hay trộm cắp),0,1,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,Can sua chua,Binh thuong,30,4.01
Đông Anh,16.58,Khu dau gia,Full tho cu,118,5.5,5,7,7,5.8,Duong nhua,1,1,1,Tây Nam,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,7,17.38
Sơn Tây,38.55,Trong lang xom,Tho cu + Dat vuon,82,5.4,1,1,1,7.2,Duong nhua,1,1,0,Nam,Hợp đồng mua bán,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,29,1.96
Quốc Oai,27.04,Gan lang nghe,Tho cu + Dat vuon,85,13.7,2,2,1,2.8,Duong dat,0,0,1,Đông,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,9,1.45
Sóc Sơn,35.4,Gan lang nghe,Full tho cu,47,11.0,3,1,1,11.1,Duong nhua,1,0,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,1,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,24,1.16
Sóc Sơn,34.85,Trong lang xom,Tho cu + Dat vuon,85,5.7,3,3,2,11.1,Duong nhua,1,1,1,Đông,Hợp đồng mua bán,Trung binh,Tốt,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,7,2.21
Đan Phượng,21.15,Khu dan cu,Full tho cu,30,3.7,5,6,3,4.2,Duong be tong,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,28,2.22
Mê Linh,29.79,Trong lang xom,Tho cu + Dat vuon,84,10.4,3,3,2,3.6,Duong be tong,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,5,2.48
Hoàn Kiếm,0.62,Khu dan cu dong duc,Full tho cu,62,3.4,7,1,2,5.4,Duong nhua,1,0,1,Đông Nam,Chờ sổ,Cao,Kém (Hay trộm cắp),0,1,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Binh thuong,16,30.98
Long Biên,8.36,Khu dau gia,Full tho cu,62,3.3,2,2,3,10.0,Duong nhua,1,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Binh thuong,25,14.01
Hà Đông,15.32,Khu dan cu,Full tho cu,101,7.0,1,1,1,3.4,Duong be tong,0,0,0,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,7,11.75
Chương Mỹ,28.94,Trong lang xom,Full tho cu,120,8.9,1,2,2,6.4,Duong nhua,1,1,0,Tây Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,1,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,19,4.47
Đông Anh,13.16,Gan KCN,Tho cu + Dat vuon,58,7.8,4,8,5,6.3,Duong nhua,1,1,1,Tây,Vi bằng,Cao,Bình thường,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,Can sua chua,Xuong cap nhe,22,4.15
Mê Linh,21.99,Mat duong Quoc lo,Full tho cu,150,12.6,1,2,2,7.2,Duong nhua,1,1,0,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,2,11.78
Long Biên,14.36,Khu dan cu,Full tho cu,68,4.2,4,8,8,10.3,Duong nhua,1,0,1,Tây Nam,Chờ sổ,Thap,Rất tốt (Khu VIP),1,0,Không gần gì,Gần Bến xe Bus,Cơ bản,Can sua chua,Binh thuong,20,9.01
Đông Anh,22.07,Khu dan cu,Full tho cu,74,10.7,3,2,3,9.3,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,1,0,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Nat/Can dap di,21,3.75
Đông Anh,16.33,Khu dan cu,Full tho cu,71,10.5,3,2,1,14.5,Duong nhua,1,1,1,Đông,Vi bằng,Cao,Bình thường,0,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Xuong cap nhe,23,9.34
Cầu Giấy,7.01,Khu dan cu dong duc,Full tho cu,60,8.4,2,4,5,7.6,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,5,18.49
Chương Mỹ,28.87,Trong lang xom,Tho cu + Dat vuon,151,10.3,1,2,1,7.1,Duong nhua,1,1,0,Tây,Hợp đồng mua bán,Thap,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Nat/Can dap di,27,2.59
Thường Tín,20.5,Gan lang nghe,Full tho cu,58,8.2,3,1,2,5.3,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Binh thuong,21,2.86
Hoài Đức,22.55,Khu dau gia,Full tho cu,141,8.9,4,6,3,1.9,Duong be tong,0,0,1,Tây Bắc,Chờ sổ,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,10,13.67
Thanh Oai,22.99,Khu dan cu,Full tho cu,146,6.8,2,3,2,5.2,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Xuong cap nhe,24,11.17
Hoàng Mai,10.99,Khu dan cu dong duc,Full tho cu,120,6.2,2,4,1,10.7,Duong nhua,1,1,1,Đông Bắc,Chờ sổ,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,27,14.81
Sơn Tây,44.03,Trong lang xom,Tho cu + Dat vuon,113,8.4,3,2,1,10.0,Duong nhua,1,1,1,Nam,Vi bằng,Cao,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,Can sua chua,Nat/Can dap di,26,1.85
Nam Từ Liêm,10.37,Khu dau gia,Tho cu + Dat vuon,49,5.9,2,1,1,3.6,Duong be tong,1,0,1,Nam,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,4,5.32
Thanh Trì,12.83,Khu dan cu,Tho cu + Dat vuon,71,10.3,4,6,5,3.7,Duong be tong,1,1,1,Tây,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,28,4.53
Đống Đa,3.08,Khu dan cu dong duc,Full tho cu,66,5.7,5,6,4,4.2,Duong be tong,1,1,1,Đông Nam,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Hay hong,Binh thuong,25,24.99
Thạch Thất,29.78,Trong lang xom,Tho cu + Dat vuon,159,7.6,2,3,2,7.4,Duong nhua,1,1,1,Đông,Vi bằng,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,10,6.06
Tây Hồ,6.57,Khu dan cu dong duc,Full tho cu,44,4.0,8,6,5,12.2,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,6,15.92
Tây Hồ,4.2,Khu dan cu dong duc,Full tho cu,75,10.7,3,5,6,9.9,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,3,34.66
Đông Anh,17.41,Khu dan cu,Full tho cu,62,7.4,2,1,2,12.8,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Binh thuong,18,7.76
Chương Mỹ,29.34,Trong lang xom,Tho cu + Dat vuon,95,8.7,3,6,7,2.9,Duong dat,0,0,1,Tây Bắc,Chờ sổ,Cao,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,4,1.38
Đông Anh,19.72,Khu dan cu,Full tho cu,97,6.2,2,3,1,2.5,Duong be tong,0,0,1,Tây Bắc,Chờ sổ,Trung binh,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,9,8.57
Quốc Oai,32.1,Trong lang xom,Full tho cu,133,11.9,2,2,2,11.6,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),1,1,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,1,4.92
Gia Lâm,13.95,Gan KCN,Full tho cu,114,11.0,1,1,2,8.0,Duong nhua,1,1,0,Đông,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,8,13.25
Long Biên,5.49,Khu dan cu,Full tho cu,100,4.1,5,4,2,6.7,Duong nhua,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,0,19.54
Bắc Từ Liêm,10.72,Gan KCN,Full tho cu,131,4.1,4,6,3,4.9,Duong be tong,1,0,1,Tây,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Xuong cap nhe,16,15.12
Đông Anh,22.53,Khu dan cu,Full tho cu,112,4.4,4,7,4,6.2,Duong nhua,1,0,1,Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,17,12.2
Hoàn Kiếm,1.74,Khu dan cu dong duc,Full tho cu,32,10.4,2,4,2,14.3,Duong nhua,1,0,1,Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,8,19.2
Đống Đa,4.32,Khu dan cu dong duc,Full tho cu,66,7.6,2,4,5,14.1,Duong nhua,1,1,1,Tây Bắc,Chờ sổ,Cao,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,7,19.56
Hai Bà Trưng,4.1,Khu dan cu dong duc,Full tho cu,20,8.3,5,6,2,8.6,Duong nhua,1,0,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,13,6.35
Đan Phượng,20.82,Khu dau gia,Full tho cu,95,5.3,2,1,2,5.7,Duong nhua,1,1,1,Đông Bắc,Chờ sổ,Cao,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,10,10.71
Phú Xuyên,34.07,Trong lang xom,Full tho cu,170,6.0,3,3,2,3.9,Duong be tong,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,0,1,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,10,5.0
Bắc Từ Liêm,15.28,Khu dau gia,Full tho cu,79,6.4,5,8,6,12.1,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,9,14.88
Phúc Thọ,29.45,Gan lang nghe,Tho cu + Dat vuon,40,10.1,3,3,3,12.3,Duong nhua,1,0,1,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,18,0.64
Hoàng Mai,9.51,Khu dan cu dong duc,Full tho cu,110,4.0,7,9,4,10.3,Duong nhua,1,0,1,Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,6,17.96
Ứng Hòa,38.96,Trong lang xom,Full tho cu,107,10.0,2,2,2,8.9,Duong nhua,1,1,1,Bắc,Vi bằng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,7,2.51
Phú Xuyên,41.35,Gan lang nghe,Full tho cu,120,8.0,2,2,2,6.1,Duong nhua,1,1,1,Tây,Vi bằng,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,9,4.02
Tây Hồ,6.38,Khu dan cu dong duc,Full tho cu,105,7.6,8,14,9,12.1,Duong nhua,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,29,50.67
Nam Từ Liêm,10.17,Khu dau gia,Full tho cu,137,9.0,2,3,2,13.2,Duong nhua,1,1,1,Đông Bắc,Vi bằng,Cao,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,12,27.93
Thanh Xuân,9.82,Khu dan cu dong duc,Full tho cu,32,6.1,8,7,6,12.5,Duong nhua,1,0,1,Nam,Chờ sổ,Thap,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,25,7.97
Đan Phượng,19.3,Khu dan cu,Full tho cu,47,5.1,5,8,3,12.1,Duong nhua,1,0,1,Đông Bắc,Vi bằng,Thap,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Cơ bản,Hay hong,Binh thuong,25,3.25
Thường Tín,20.16,Gan lang nghe,Full tho cu,198,11.7,3,6,6,12.2,Duong nhua,1,1,1,Bắc,Vi bằng,Thap,Rất tốt (Khu VIP),0,1,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,2,7.05
Long Biên,6.08,Khu dan cu,Full tho cu,79,11.2,5,2,3,13.7,Duong nhua,1,1,1,Tây Bắc,Vi bằng,Thap,Kém (Hay trộm cắp),0,1,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Nat/Can dap di,20,9.84
Phúc Thọ,29.17,Trong lang xom,Tho cu + Dat vuon,253,9.8,2,2,3,7.4,Duong nhua,1,1,1,Tây Nam,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Xuong cap nhe,28,4.56
Hoài Đức,24.82,Gan KCN,Full tho cu,69,3.6,5,3,3,13.6,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,7,5.12
Hoài Đức,21.27,Khu dan cu,Full tho cu,44,5.6,3,5,4,4.3,Duong be tong,1,0,1,Đông,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Xuong cap nhe,29,4.73
Thanh Oai,28.2,Khu dan cu,Full tho cu,57,10.4,2,4,2,3.8,Duong be tong,1,1,1,Tây,Vi bằng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,Hay hong,Xuong cap nhe,19,3.87
Hoàn Kiếm,1.05,Khu dan cu dong duc,Full tho cu,45,10.1,5,3,4,9.1,Duong nhua,1,0,1,Tây Nam,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,0,28.67
Ba Đình,2.53,Khu dan cu dong duc,Full tho cu,28,9.0,6,12,6,14.4,Duong nhua,1,0,1,Đông Nam,Chờ sổ,Cao,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,12,11.6
